.2021-05-03 10:48:24,786 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Execution python script started.
2021-05-04 00:14:24,196 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 57047 records read from table:inforce202102.
2021-05-04 00:14:24,197 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table INFORCE202102 created successfully with 57047 records and 117 columns.
2021-05-04 00:14:30,232 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 57047 records read from table:inforce.
2021-05-04 00:14:30,351 - GW_IPM_RENRATIO REGIONAL AUTO INFO - inforceG1 created successfully with 57047 records
2021-05-04 00:14:37,547 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 321125 records read from table:inforcegenii202102.
2021-05-04 00:14:37,548 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table INFORCEGENII202102 created successfully with 321125 records and 213 columns.
2021-05-04 00:15:47,106 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 321125 records read from table:inforcegenii.
2021-05-04 00:15:48,147 - GW_IPM_RENRATIO REGIONAL AUTO INFO - inforceG2 name created successfully with 321125 records
2021-05-04 00:15:50,488 - GW_IPM_RENRATIO REGIONAL AUTO INFO - InfRen202102 created successfully with 378172 records
2021-05-04 00:15:52,349 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 58808 records read from table:inforce202012.
2021-05-04 00:15:52,349 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table INFORCE202012 created successfully with 58808 records and 117 columns.
2021-05-04 00:15:58,731 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 58808 records read from table:inforce202012.
2021-05-04 00:15:58,767 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Gen1 created successfully with 58808 records
2021-05-04 00:15:59,350 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 9442 records read from table:Gen1.
2021-05-04 00:15:59,505 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Gen1 created successfully with 9442 records
2021-05-04 00:16:07,080 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 330227 records read from table:inforcegenii202012.
2021-05-04 00:16:07,080 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table INFORCEGENII202012 created successfully with 330227 records and 213 columns.
2021-05-04 00:17:18,473 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 330227 records read from table:inforcegenii202012.
2021-05-04 00:17:20,158 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Gen2 created successfully with 330227 records
2021-05-04 00:18:00,062 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 51458 records read from table:Gen2.
2021-05-04 00:18:02,769 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Gen2 created successfully with 51458 records
2021-05-04 00:18:07,955 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Renew1 created successfully with 60900 records
2021-05-04 00:18:08,623 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 33050 records read from table:agent.
2021-05-04 00:18:08,623 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table AGENT created successfully with 33050 records and 14 columns.
2021-05-04 00:18:09,151 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 33050 records read from table:agent202012.
2021-05-04 00:18:09,165 - GW_IPM_RENRATIO REGIONAL AUTO INFO - agent created successfully with 33050 records
2021-05-04 00:18:09,300 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Connected to SQLite temporary work DB
2021-05-04 00:18:09,300 - GW_IPM_RENRATIO REGIONAL AUTO INFO - executing Renew2 table
2021-05-04 00:18:09,451 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table RENEW2 created successfully with 60900 records.
